https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BUSD,tradecount
1594857600000,2020-07-16,ETHBUSD,238.36,239.16,229.72,233.45,16035.27332,3739323.250197,15400
1594771200000,2020-07-15,ETHBUSD,240.42,241.37,236.63,238.34,9764.65061,2331648.2533277,13696
1594684800000,2020-07-14,ETHBUSD,239.38,242.03,236.77,240.4,13856.59271,3318584.5823322,17638
1594598400000,2020-07-13,ETHBUSD,242.85,245.17,237.28,239.39,25445.39961,6127825.6278065,21206
1594512000000,2020-07-12,ETHBUSD,239.18,243.94,236.68,242.82,18308.99304,4391522.8218613,19368
1594425600000,2020-07-11,ETHBUSD,241.12,241.55,237.51,239.14,7780.85759,1862018.6869742,8144
1594339200000,2020-07-10,ETHBUSD,241.95,242.11,235.61,241.12,11819.85275,2823988.5234271,12235
1594252800000,2020-07-09,ETHBUSD,247.02,247.54,237.9,241.99,13749.2407,3337023.0579789,14963
1594166400000,2020-07-08,ETHBUSD,239.37,248.99,237.85,247.02,19047.0755,4647276.8555558,21266
1594080000000,2020-07-07,ETHBUSD,241.6,243.75,234.57,239.33,19659.54543,4689393.5345542,16254
1593993600000,2020-07-06,ETHBUSD,227.64,241.87,227.03,241.59,19009.35848,4470627.2080417,21039
1593907200000,2020-07-05,ETHBUSD,229.22,229.79,223.42,227.54,10007.25969,2263906.2000103,10885
1593820800000,2020-07-04,ETHBUSD,224.85,230.64,224.48,229.19,8368.62154,1900537.2723882,10123
1593734400000,2020-07-03,ETHBUSD,226.42,228.23,224.28,224.9,7454.95057,1687620.868929,8757
1593648000000,2020-07-02,ETHBUSD,231.07,232.07,222.95,226.41,15595.1083,3547810.6218831,14388
1593561600000,2020-07-01,ETHBUSD,225.37,232.7,224.14,231.04,10631.30865,2437004.3436121,11376
1593475200000,2020-06-30,ETHBUSD,227.9,228.59,222.78,225.4,7431.92559,1678435.2431714,8868
1593388800000,2020-06-29,ETHBUSD,224.99,229.9,221.04,227.76,11757.66532,2648085.5155796,9837
1593302400000,2020-06-28,ETHBUSD,220.67,227.85,218.28,224.8,9638.93994,2152461.9808129,9297
1593216000000,2020-06-27,ETHBUSD,229.44,231.0,215.54,220.62,13938.74868,3118476.573579,11734
1593129600000,2020-06-26,ETHBUSD,232.24,233.33,227.34,229.32,15348.56067,3525054.2091136,12833
1593043200000,2020-06-25,ETHBUSD,234.27,235.14,227.21,232.41,11609.76816,2696273.825956,12427
1592956800000,2020-06-24,ETHBUSD,243.1,249.03,230.69,234.17,18632.49394,4448374.5613079,19385
1592870400000,2020-06-23,ETHBUSD,243.27,244.93,240.71,243.03,11741.33402,2852709.3614649,14444
1592784000000,2020-06-22,ETHBUSD,227.64,246.85,227.21,243.19,20564.29137,4911479.7387184,18247
1592697600000,2020-06-21,ETHBUSD,228.82,231.19,226.9,227.7,5672.60671,1301878.7558892,7098
1592611200000,2020-06-20,ETHBUSD,228.46,230.49,224.84,228.74,24934.05945,5661164.4054206,12387
1592524800000,2020-06-19,ETHBUSD,230.91,231.72,226.42,228.63,8107.21563,1858346.8479338,9079
1592438400000,2020-06-18,ETHBUSD,233.47,234.44,227.64,230.91,8266.13582,1912587.6320691,6958
1592352000000,2020-06-17,ETHBUSD,235.3,237.07,227.59,233.47,11672.26077,2717944.7096377,9466
1592265600000,2020-06-16,ETHBUSD,230.98,235.9,228.77,235.08,10568.58747,2467445.6540636,11455
1592179200000,2020-06-15,ETHBUSD,231.52,233.57,217.89,230.89,26423.69615,5917620.4000713,14459
