Unix,Date,Symbol,Open,High,Low,Close,Volume TOMO,Volume,tradecount
1627171200000,2021-07-25,TOMOUSDT,2.7496,2.7829,2.57,2.7428,2700439.62,7221825.672278,29909
1627084800000,2021-07-24,TOMOUSDT,2.9279,2.9378,2.6777,2.7458,3368148.38,9448746.874604,36778
1626998400000,2021-07-23,TOMOUSDT,2.6082,3,2.5654,2.928,5961611.09,16748785.81084,63613
1626912000000,2021-07-22,TOMOUSDT,2.3958,2.6137,2.3497,2.6117,3963673.35,9707466.23871,33910
1626825600000,2021-07-21,TOMOUSDT,2.1887,2.522,2.108,2.3946,3894814.38,9086510.46022,33583
1626739200000,2021-07-20,TOMOUSDT,2.417,2.5925,2.1244,2.1936,5383772.33,12156261.125624,46086
1626652800000,2021-07-19,TOMOUSDT,2.4953,2.5121,2.2025,2.4151,3682443.78,8732362.727856,35212
1626566400000,2021-07-18,TOMOUSDT,2.3395,2.75,2.3073,2.4964,4868283.42,12136836.188055,51450
1626480000000,2021-07-17,TOMOUSDT,2.4917,2.7531,2.3237,2.3407,4933151.7,12370879.38881,47547
1626393600000,2021-07-16,TOMOUSDT,2.4545,2.7486,2.35,2.4917,5737140.39,14603296.481923,55961
1626307200000,2021-07-15,TOMOUSDT,2.4702,2.6,2.3432,2.4498,4968837.95,12315234.841204,47375
1626220800000,2021-07-14,TOMOUSDT,2.2952,2.49,2.088,2.4743,3869144.66,8770131.137088,36442
1626134400000,2021-07-13,TOMOUSDT,2.2303,2.3875,2.1359,2.2887,3909225.14,8893186.45926,30915
1626048000000,2021-07-12,TOMOUSDT,2.4606,2.4643,2.1903,2.2307,2960159.97,6846127.183296,25966
1625961600000,2021-07-11,TOMOUSDT,2.408,2.49,2.2611,2.461,3755135.66,8905712.204535,32821
1625875200000,2021-07-10,TOMOUSDT,2.2339,2.5106,2.1625,2.4035,5808273.12,13779345.420418,54999
1625788800000,2021-07-09,TOMOUSDT,2.2792,2.3066,2.0885,2.2302,6511970.68,14396223.981849,55475
1625702400000,2021-07-08,TOMOUSDT,2.0125,2.3873,1.9187,2.2727,10473946.42,23177209.066396,79869
1625616000000,2021-07-07,TOMOUSDT,2.1659,2.185,1.9951,2.0122,3294749.78,6911899.708,29445
