https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BUSD,tradecount
1592352000000,2020-06-17,BNBBUSD,16.4142,16.6114,15.891,16.3734,41955.65,685805.96636,8659
1592265600000,2020-06-16,BNBBUSD,16.3784,16.62,16.1599,16.4137,79196.32,1303445.242907,7999
1592179200000,2020-06-15,BNBBUSD,16.548,16.5729,15.49,16.3793,64570.24,1031426.839301,10892
1592092800000,2020-06-14,BNBBUSD,16.7937,16.8251,16.3881,16.548,21013.95,349846.900134,5397
1592006400000,2020-06-13,BNBBUSD,16.6163,16.811,16.4808,16.8102,22284.72,370586.615364,6103
1591920000000,2020-06-12,BNBBUSD,16.2,16.7718,16.0663,16.6162,31240.14,515417.516215,6487
1591833600000,2020-06-11,BNBBUSD,17.4026,17.5379,15.8888,16.2174,78684.99,1319959.036064,10867
1591747200000,2020-06-10,BNBBUSD,17.3711,17.5662,17.2015,17.4122,51343.0,891124.291531,6425
1591660800000,2020-06-09,BNBBUSD,17.4326,17.5089,17.0625,17.3714,21680.6,375294.924164,3395
1591574400000,2020-06-08,BNBBUSD,17.4101,17.5317,17.2629,17.4285,18122.85,315350.169589,2625
1591488000000,2020-06-07,BNBBUSD,17.5426,17.6159,16.8571,17.4099,52125.29,902618.358075,5206
1591401600000,2020-06-06,BNBBUSD,17.6593,17.7848,17.4989,17.5357,54012.25,951522.085208,3838
1591315200000,2020-06-05,BNBBUSD,17.5101,17.872,17.448,17.6735,42680.72,753640.189454,5088
1591228800000,2020-06-04,BNBBUSD,17.589,17.6499,17.0428,17.5242,44038.92,769167.023978,5333
1591142400000,2020-06-03,BNBBUSD,17.2782,17.632,16.9897,17.59,85841.17,1487261.96181,9897
1591056000000,2020-06-02,BNBBUSD,17.9509,18.1733,16.6836,17.2793,65087.29,1141270.145565,8368
1590969600000,2020-06-01,BNBBUSD,17.07,18.1682,16.9826,17.95,72404.34,1267585.216369,8855
1590883200000,2020-05-31,BNBBUSD,17.7403,18.1517,16.8367,17.0836,94960.04,1670751.750176,10178
1590796800000,2020-05-30,BNBBUSD,16.9922,17.7707,16.923,17.7403,66309.73,1150749.353592,7596
1590710400000,2020-05-29,BNBBUSD,17.0833,17.1802,16.64,16.9922,88047.67,1492953.632801,7241
1590624000000,2020-05-28,BNBBUSD,16.4501,17.1366,16.393,17.0816,62833.4,1047777.529823,7597
1590537600000,2020-05-27,BNBBUSD,16.2185,16.5,16.15,16.4489,67627.02,1106215.935474,5188
1590451200000,2020-05-26,BNBBUSD,16.3738,16.4641,15.9555,16.2204,83853.96,1363718.853974,6274
1590364800000,2020-05-25,BNBBUSD,15.9495,16.4033,15.8,16.3612,117975.03,1911514.027276,15250
1590278400000,2020-05-24,BNBBUSD,16.4671,16.7777,15.95,15.95,59551.57,977505.988365,8671
1590192000000,2020-05-23,BNBBUSD,16.5949,16.846,16.3356,16.4671,37064.24,613855.244404,7201
1590105600000,2020-05-22,BNBBUSD,16.0646,16.8972,15.908,16.5948,84487.62,1383860.7985,9874
1590019200000,2020-05-21,BNBBUSD,16.8816,17.0342,15.7,16.0681,130591.07,2139754.925758,11066
1589932800000,2020-05-20,BNBBUSD,17.1993,17.3405,16.4816,16.8817,99368.87,1685527.257859,7319
1589846400000,2020-05-19,BNBBUSD,16.619,17.2179,16.2915,17.1993,129902.51,2178658.296677,8177
1589760000000,2020-05-18,BNBBUSD,16.2887,16.8374,16.2601,16.619,107390.5,1772616.974544,7252
